question,optionA,optionB,optionC,optionD,correct,explanation
"Chúa Giêsu Kitô lên Giêrusalem, phải chịu nhiều đau khổ do ai gây ra? (Mt 16,22)",Các kỳ mục,Các thượng tế và kinh sư.,Những người tội lỗi.,Những người chống đối Chúa Giêsu. e. Chỉ a và b là đúng. f. Tất cả đều đúng.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Xin Thiên Chúa thương đừng để Thầy gặp phải chuyện ấy!” Ai nói câu này với Chúa Giêsu? (Mt 16,22)",Ông Phêrô.,Ông Gia-cô-bê,Ông Giu-đa Ít-ca-ri-ốt.,"Ông Gioan, môn đệ Chúa yêu.",A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Xa-tan, lui lại đàng sau Thầy!” Lời Chúa Giêsu nói với ai? (Mt 16,23)",Ông Gia-cô-bê,Ông Giu-đa Ít-ca-ri-ốt.,"Ông Gioan, môn đệ Chúa yêu.",Ông Phêrô.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai muốn theo Thầy, phải từ bỏ chính mình, vác cái gì mà theo? (Mt 16,24)",Vác thập giá của Chúa.,Vác thập giá mình.,Vác gánh nặng của mình.,Vác lấy tội lỗi của mình.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai muốn cứu mạng sống mình, thì sẽ mất; còn ai liều mất mạng sống mình vì Thầy, thì sẽ thế nào? (Mt 16,25)",Sẽ tìm được mạng sống ấy.,Sẽ tìm được sự sống đời sau.,Sẽ được phần thưởng trên Trời.,Sẽ được Chúa ban thưởng.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những môn đệ nào được chứng kiến việc Chúa Giêsu hiển dung? (Mt 17,1)","Ông Phaolô, ông Giacôbê và ông Gioan.","Ông Phêrô, ông Giacôbê và ông Gioan.","Ông Phêrô, ông Giacôbê và ông Giuđa.","Ông Phêrô, ông Giôxếp và ông Gioan.",B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những người đến đàm đạo với Chúa Giêsu là ai? (Mt 17,3)",Ông Môsê và ông Êlia.,Ông Mô-sê và ông Isaia.,Vua Đa-vít và Abraham.,Ông Abraham và Elia.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Lạy Ngài, chúng con ở đây, thật là hay! Nếu Ngài muốn, con xin dựng tại đây ba cái lều, một cho Ngài, một cho ông Môsê, và một cho ông Êlia.” Đây là lời của ai? (Mt 17,4)",Lời của ông Mô-sê.,Lời của ông Phêrô.,Lời của ông Gioan Tẩy giả.,Lời của ông Gioan.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Đây là Con yêu dấu của Ta, Ta hài lòng về Người. Các ngươi hãy vâng nghe lời Người!” Khi nghe câu này, các môn đệ có thái độ thế nào? (Mt 17,5-6)",Kinh hoàng.,Xôn xao.,Ngạc nhiên.,Vui mừng.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu: “Vậy sao ... ... ... lại nói ông Êlia phải đến trước?” (Mt 17,10)",Các kinh sư.,Các thượng tế.,Các môn đệ.,Dân chúng.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trước khi chữa đứa bé bị bệnh động kinh, Chúa Giêsu gọi thế hệ này là gì? (Mt 17,17)",Thế hệ cứng lòng không chịu tin và gian tà!,Thế hệ ăn chơi hưởng thụ.,Thế hệ cứng lòng và gian ác.,Thế hệ được chúc phúc mà không biết hưởng.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Nếu anh em có lòng tin lớn bằng hạt cải thôi, thì dù anh em có bảo cái gì ‘rời khỏi đây, qua bên kia!’ nó cũng sẽ qua? (Mt 17,20)",Núi kia.,Núi này.,Sóng biển,Mưa đá.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi đang ở đâu, Chúa Giêsu tiên báo cuộc Thương Khó lần thứ hai? (Mt 17,22)",Miền Galilê.,Miền Giu-đê,Miền Samari.,Miền Thập tỉnh.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu bảo ai ra biển thả câu, bắt cá, lấy tiền để nộp thuế cho Đền Thờ? (Mt 17,26-27)",Ông Phêrô.,Ông Mattheu,Ông Giu-đa.,Ông Cai-pha.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi mở miệng con cá câu được, ông Phêrô thấy đồng tiền mấy quan? (Mt 17,27)",Một tiền hai quan.,Một đồng tiền bốn quan.,Hai đồng tiền bốn quan.,Bốn đồng tiền bốn quan.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi các môn đệ hỏi ‘Ai là người lớn nhất trong Nước Trời’, Chúa Giêsu nói : Nếu anh em không trở nên như trẻ nhỏ thì thế nào? (Mt 18,1-3)",Thì sẽ chẳng được vào Nước Trời.,Thì sẽ chẳng được sự sống đời đời.,Thì sẽ bị tống ra khỏi bữa tiệc Nước trời.,Thì sẽ không được Thiên Chúa yêu thương.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai tự hạ, coi mình như em nhỏ này, người ấy sẽ là gì? (Mt 18,4)",Người lớn nhất Nước Trời.,Người nhỏ nhất trong Nước Trời.,Người hạnh phúc nhất Nước Trời.,Người giầu có nhất Nước trời.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai làm cớ cho một trong những kẻ bé mọn đang tin Thầy đây phải sa ngã, thì thế nào? (Mt 18,6)",Thà treo cối đá lớn vào cổ nó mà xô cho chìm xuống đáy biển còn hơn.,Thà đuổi nó ra khỏi Nước Trời mà quăng xuống âm phủ còn hơn.,Thà buộc cối đá vào cổ mà thả xuống biển còn hơn.,Thà tống nó vào tù hoặc trục xuất ra khỏi cộng đoàn còn hơn.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Nếu tay hoặc chân anh làm cớ cho anh sa ngã, thì hãy chặt mà ném đi; thà cụt tay cụt chân mà được vào cõi sống, còn hơn là có đủ hai tay hai chân mà bị ném vào đâu? (Mt 18,8)",Vào hoả ngục.,Vào lửa đời đời.,Vào âm phủ chịu lửa thiêu đốt.,Vào xào huyệt của bọn cướp.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Nếu mắt anh làm cớ cho anh sa ngã, thì hãy móc mà ném đi; thà chột mắt mà được vào cõi sống, còn hơn là có đủ hai mắt mà bị ném vào đâu? (Mt 18,9)",Vào lửa hoả ngục.,Vào địa ngục.,Vào nơi ở cuẩ ma quỷ.,Vào cõi âm ty.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Với những kẻ bé mọn, Chúa Giêsu cho biết ai ở trên trời không ngừng chiêm ngưỡng nhan Cha Thầy, Đấng ngự trên trời? (Mt 18,10)",Các thiên thần bản mệnh.,Các thánh bổn mạng của họ.,Các thiên thần của họ.,Chúa Thánh Thần.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Nếu người anh em của anh trót phạm tội, thì anh hãy đi sửa lỗi nó, nếu nó không nghe, Hội Thánh nó cũng không nghe, thì hãy kể nó như là ai? (Mt 18,15-17)",Như một người tội lỗi hay một người thu thuế.,Như một người ngoại hay một người thu thuế.,Như một người thu thuế hay một kẻ trộm cướp.,Như một người ngoại hay một người quỷ ám.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu: “Thầy còn bảo thật anh em: nếu ở dưới đất, hai người trong anh em hợp lời cầu xin bất cứ điều gì, thì Cha Thầy, Đấng ngự trên trời, ... ... ... .” (Mt 18,19)",Sẽ ban cho.,Sẽ ban thưởng,Sẽ thưởng công.,Sẽ chúc lành.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Ở đâu có hai ba người họp lại nhân danh Thầy, thì thế nào? (Mt 18,20)","Thì có Thầy ở đấy, giữa họ.",Thì có Chúa Cha ở trong họ.,Thì sẽ có Chúa Thánh Thần ở giữa họ.,"Thì sẽ có Thiên Chúa ở đấy, giữa họ.",A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai hỏi Chúa Giêsu : ‘Thưa Thầy, nếu anh em con cứ xúc phạm đến con, thì con phải tha đến mấy lần?’? (Mt 18,21)",Ông Gioan.,Ông Giu-đa.,Ông An-rê.,Ông Phêrô.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu bảo ông Phêrô phải tha thứ đến bao nhiêu? (Mt 18,22)",Đến bảy mươi lần bảy.,Đến bảy lần bảy,Đến mười bảy lần bảy.,Đến một trăm lần bảy.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Tên mắc nợ không biết thương xót mắc nợ chủ bao nhiêu? (Mt 18,24)",Một ngàn yến vàng.,Một ngàn yến bạc.,Mười ngàn yến vàng.,Mười ngàn yến bạc.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Kẻ mắc nợ vua mười ngàn yến vàng có thái độ gì trước mặt tôn chủ? (Mt 18,26)",Sấp mình thờ lạy.,Sấp mình xuống bái lạy.,Bóp cổ tôn chủ và cầu xin.,Quỳ xuống van xin.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi thấy thái độ và lời cầu xin của kẻ mắc nợ vua mười ngàn yến vàng, tôn chủ có thái độ gì cho y về và tha luôn món nợ? (Mt 18,27)",Chạnh lòng thương.,Tha thứ.,Bỏ qua lỗi lầm.,Thương cảm.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Bạn đồng liêu mắc nợ tên đầy tớ ấy bao nhiêu? (Mt 18,28)",Một trăm quan tiền.,Một quan tiền.,Một trăm đồng bạc.,Ba mươi đồng bạc.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Tên đầy tớ có hành động gì với bạn đồng liêu? (Mt 18,27-30)","Túm lấy, bóp cổ và tống vào ngục.","Túm tóc, lột quần áo và tống ngục.",Bắt trói và tống ngục.,"Túm cổ, đánh đập và tống ngục.",A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đã hỏi Chúa Giêsu : ‘Thưa Thầy, có được phép rẫy vợ mình vì bất cứ lý do nào không?’? (Mt 19,3)",Người Pharisêu.,Người Do-thái,Các môn đệ.,Các Thượng tế.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu: “Thuở ban đầu, Đấng Tạo Hoá đã làm ra con người có nam có nữ. Vì thế, người ta sẽ lìa cha mẹ mà gắn bó với vợ mình, và ... ... ... .” (Mt 19,4-5)",Cả hai sẽ nên vợ chồng theo bí tích.,Cả hai sẽ thành một xương một thịt.,"Tuy hai là một, tuy một mà là hai.",Hai bên sẽ không tách lìa được.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu: “Sự gì Thiên Chúa đã phối hợp, ... ... ... .” (Mt 19,6)",Loài người không được phân ly.,Loài người không được chia cắt.,Loài người không được phá bỏ.,Hai vợ chồng không được ly hôn.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Vì điều gì ông Môsê cho phép các ông rẫy vợ? (Mt 19,8)",Vì các ông không kính sợ Thiên Chúa.,Vì các ông không tin vào Thiên Chúa.,Vì các ông cứng lòng không chịu tin.,Vì các ông lòng chai dạ đá.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Cứ để trẻ em đến với Chúa Giêsu, đừng ngăn cấm chúng, vì điều gì là của những ai giống như chúng? (Mt 19,14)",Nước Trời.,Phần Thưởng,Ân Sủng,Hạnh Phúc,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi được hỏi phải làm điều tốt gì để được hưởng sự sống đời đời, Chúa Giêsu bảo không được làm gì? (Mt 19,16-18)",Ngươi không được giết người.,Ngươi không được ngoại tình.,Ngươi không được trộm cắp.,Ngươi không được làm chứng gian. e. Tất cả đều đúng. f. Tất cả đều sai.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi được hỏi phải làm điều tốt gì để được hưởng sự sống đời đời, Chúa Giêsu bảo phải làm gì? (Mt 19,16-19)",Người không được thờ kính cha mẹ hơn Ta.,Ngươi phải thờ cha kính mẹ và phải yêu đồng loại như yêu chính mình.,Ngươi phải thảo kính cha mẹ và yêu đồng bào như chính mình.,Người phải thờ cha kính mẹ và phải yêu bản thân hơn người khác.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi được mời gọi bán hết tất cả tài sản và đem cho người nghèo, người thanh niên buồn rầu bỏ đi. Vì sao?(Mt 19,21)",Vì anh ta có nhiều của cải.,Vì anh ta có nhiều ruộng đất.,Vì anh ta không biết Đức Giêsu là ai.,Vì Anh ta không muốn từ bỏ của cải.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Con gì chui qua lỗ kim còn dễ hơn người giàu vào Nước Thiên Chúa? (Mt 19,24)",Con chiên con.,Con chim bồ câu.,Con lạc đà.,Con bê béo.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đã hỏi Chúa Giêsu :“Thầy coi, phần chúng con, chúng con đã bỏ mọi sự mà theo Thầy. Vậy chúng con sẽ được gì.”? (Mt 19,27)",Ông Phêrô.,Ông Matheu,Ông Giu-đa,Ông Gioan.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông chủ vườn nho mướn thợ làm trong vườn của mình mỗi ngày được bao nhiêu quan tiền? (Mt 20,2)",Một quan tiền.,Hai quan tiền,Mười quan tiền.,Một đồng bạc.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những người vào làm vườn nho cuối cùng vào giờ thứ mấy? (Mt 20,6)",Giờ thứ nhất,Giờ thứ sáu.,Giờ thứ chín,Giờ mười một.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi tiên báo cuộc Thương Khó lần thứ ba, Chúa Giêsu nói Người sẽ bị nộp cho dân ngoại làm gì? (Mt 20,19)","Nhạo báng, đánh đòn và đóng đinh vào thập giá.","Nhạo báng, sỉ nhục và đóng đinh","Bắt trói, chống đối và xét xử.","Khước từ, chống đối và bắt bớ.",A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đến xin cùng Chúa Giêsu :“Xin Thầy truyền cho hai con tôi đây, một người ngồi bên hữu, một người bên tả Thầy trong Nước Thầy.”? (Mt 20,21)",Bà mẹ của các con ông Dêbêđê.,Anh em của các con ông Dêbêđê.,Mẹ của ông Gia-cô-bê và Gioan.,Mẹ vợ ông Simon.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai muốn làm lớn giữa anh em, thì phải làm gì?(Mt 20,26)",Làm người lãnh đạo.,Làm hết mọi việc.,Làm người phục vụ anh em.,Làm đầy tớ anh em mình.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai muốn làm đầu anh em thì phải làm gì? (Mt 20,27)",Làm đầy tớ anh em.,Làm người lãnh đạo.,Làm gương cho anh em.,Làm phúc cho anh em.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đến không phải để được người ta phục vụ, nhưng là để phục vụ và hiến dâng mạng sống làm giá chuộc muôn người? (Mt 20,28)",Đức Giêsu,Đấng Bảo Trợ,Con Người.,Các Thiên Thần.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Lạy Ngài, lạy Con vua Đavít, xin dủ lòng thương chúng tôi!” Đây là lời của ai? (Mt 20,30)",Hai người mù tại Giêrikhô.,Một người mù tại Giêrikhô.,Một người bại liệt ở ngoài thành.,Hai người ăn xin tại Giêrikhô.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi tới làng nào, Chúa Giêsu sai hai môn đệ và bảo: “Các anh đi vào làng trước mặt kia, và sẽ thấy ngay một con lừa mẹ đang cột sẵn đó, có con lừa con bên cạnh. Các anh cởi dây ra và dắt về cho Thầy.”? (Mt 21,1-2)",Làng Bếtphaghê.,Làng Bê-lem,Làng Nazareth.,Làng Bêtania.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi Chúa Giêsu vào thành Giêrusalem, dân chúng reo hò vang dậy thế nào? (Mt 21,9)",Hoan hô Con vua Đavít!,Chúc tụng Đấng ngự đến nhân danh Đức Chúa!,Hoan hô trên các tầng trời.,Tất cả đều đúng.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi Chúa Giêsu vào Giêrusalem, cả thành  thế nào? (Mt 21,10)",Vui mừng,Náo động,Hoảng Sợ,Kinh ngạc,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi Chúa Giêsu vào Giêrusalem, cả thành náo động, thiên hạ hỏi nhau và dân chúng trả lời thế nào? (Mt 21,10-11)","“Ngôn sứ Giêsu, người Nadarét, xứ Galilê đấy.”","“Ngôn sứ Elia, Con bác thợ mộc, người xứ Galilê đấy.”","“Ông Gioan Tẩy Giả , người Nadarét, xứ Galilê đấy.”","“Ngôn sứ Giêsu, Đấng Ki-tô, Con Thiên Chúa đấy.”",A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi Chúa Giêsu vào Đền Thờ, Người đã làm gì? (Mt 21,12)","Người buồn rầu không nói gì, lặng lẽ rời khỏi Đền thờ.",Người lấy dây làm roi và xua đuổi hết mọi người ra khỏi Đền Thờ.,"Đuổi tất cả những người đang mua bán trong Đền Thờ, lật bàn của những người đổi bạc và xô ghế của những kẻ bán bồ câu.","Đuổi tất cả những người đang phục vụ trong Đền Thờ, thu gom tiền của những kẻ đổi bạc và xô ghế của những kẻ bán bồ câu.",C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu: “Nhà Ta sẽ được gọi là nhà cầu nguyện, thế mà các ngươi lại biến thành ... ... .. .” (Mt 21,13)",Sào huyệt của bọn cướp.,Hang ổ của bọn cướp.,Hang ổ của bọ đĩ điếm.,Khu chợ của dân buôn bán.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi nghe lũ trẻ hô : “Hoan hô Con vua Đavít!” thì ai đã tức tối và nói với Người : “Ông có nghe chúng nói gì không?”? (Mt 21,15-16)",Các thượng tế và kinh sư.,Các thượng tế và nhóm Pharisieu,Các môn đệ và dân chúng,Phi-la-tô và lính Rôma.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Sau khi Chúa Giêsu ra khỏi thành, Người đến làng nào và qua đêm tại đó? (Mt 21,17)",Làng Bêtania.,Làng Belem.,Làng Samari.,Làng Bếtphaghê.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Từ nay, không bao giờ mày có trái nữa!” Lời Chúa Giêsu nói về cây gì? (Mt 21,19)",Cây nho.,Cây cải.,Cây vả.,Cây cọ.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi nghe lời “Từ nay, không bao giờ mày có trái nữa!”, cây vả thế nào? (Mt 21,19)",Cây vả xanh tốt hơn.,Cây vả chết khô ngay lập tức.,Cây vả liền đâm chồi nảy lộc.,Cây vả rụng hết lá.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Tất cả những gì anh em lấy lòng tin mà xin khi cầu nguyện, thì thế nào? (Mt 21,22)",Anh em sẽ được.,Anh em sẽ nhận lãnh.,Anh em sẽ được thưởng công.,Anh em sẽ được chúc phúc.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi thấy Chúa Giêsu giảng dạy trong Đền Thờ, ai đã hỏi Người : “Ông lấy quyền nào mà làm các điều ấy? Ai đã cho ông quyền ấy?”? (Mt 21,23)",Các kinh sư và người Pharisieu.,Các thượng tế và kỳ mục.,Dân chúng vây quanh,Những người chống đối Đức Giêsu.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong dụ ngôn Hai Người Con, người con thứ nhất trả lời không đi, nhưng rồi lại đi. Vì sao? (Mt 21,28-30)",Vì nó hối hận.,Vì nó thích đi làm.,Vì nó sợ bị đánh đòn.,Vì thương người Cha.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong Dụ ngôn Hai Người Con, Chúa Giêsu bảo ai sẽ vào Nước Thiên Chúa trước các ông? (Mt 21,31)",Những người thu thuế và những cô gái điếm.,Những người tội lỗi và bị loài trừ.,Những người phong cùi và bại liệt.,Những người nghèo khổ.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đã đến chỉ đường công chính cho các ông, mà các ông không tin ông ấy; còn những người thu thuế và những cô gái điếm lại tin? (Mt 21,32)",Ông Gioan.,Ông Elia,Ông Mô-sê,Các Thiên Thần.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Có gia chủ kia trồng được một vườn nho; chung quanh vườn, ông rào giậu; trong vườn, ông khoét bồn đạp nho, và xây một tháp canh.” Đây là dụ ngôn gì? (Mt 21,33...)",Dụ ngôn Người Cha nhân hậu,Dụ ngôn Cây Vả.,Dụ ngôn Những Tá Điền Sát Nhân.,Dụ ngôn Con Chiên lạc.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Gần đến mùa gì, ông chủ sai đầy tớ đến gặp các tá điền để thu hoa lợi? (Mt 21,34)",Mùa gặt.,Mùa hái nho.,Mùa cắt lông chiên.,Mùa Đông.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Với các đầy tớ đến thu hoa lợi, bọn tá điền đã làm gì? (Mt 21,35)","Đánh người này, giết người kia, ném đá người nọ.",Giả vờ không biết rồi đuổi đi.,Nộp hoa lợi đúng với thoả thuận.,Xin gia hạn để nộp sau.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi người con trai gia chủ đến, bọn tá điền đã giết và đoạt lấy điều gì của nó? (Mt 21,37-38)",Gia tài.,Vườn nho.,Lấy mạng sống.,Lấy áo choàng.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Với những tá điền sát nhân, ông chủ sẽ làm gì bọn chúng? (Mt 21,41)",Tru diệt bọn chúng.,Tống cổ chúng khỏi vườn nho.,Bắt trói và tống ngục.,Đốt vườn nho không thuê ai nữa.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi nghe Chúa Giêsu kể dụ ngôn Những Tá Điền Sát Nhân, những ai hiểu là Ngài nói về họ?  (Mt 21,45)",Các môn đệ.,Người Do-thái,Các thượng tế và người Pharisêu.,Những người tội lỗi.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong dụ ngôn Tiệc Cưới, các quan khách được mời lấy lý do gì mà không tham dự? (Mt 22,5-7)","Kẻ thì đi thăm trại, người thì đi buôn,",Bắt các đầy tớ của vua mà sỉ nhục và giết chết.,Đi làm vườn nho.,Đi lên Đền Thờ dâng lễ vật. e. Chỉ a và b là đúng. f. Chỉ c và d là đúng.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Với những khách không thèm đếm xỉa tới lời mời, nhà vua đối xử thế nào với chúng? (Mt 22,5-7)",Tru diệt bọn sát nhân ấy và thiêu huỷ thành phố của chúng.,Cho lính đến bắt và đốt thành phố của chúng.,Không tổ chức tiệc cưới nữa.,Cắt chức và không bao giờ mời họ nữa.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những ai đến với Chúa Giêsu và hỏi: “Có được phép nộp thuế cho Xê-da hay không?” (Mt 22,15-17)",Những người Pharisêu và những người phe Hêrôđê.,Những người thu thuế Đền Thờ.,Các môn đệ ông Gioan.,Nhóm Xa-đốc.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu gọi những kẻ gài bẫy Người là gì? (Mt 22,18)",Những người tội lỗi.,Những kẻ giả hình.,Những người đạo đức giả.,Những người khôn ngoan.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu: “Của Xê-da, trả về Xê-da; của Thiên Chúa, ... ... ... .” (Mt 22,21)",Trả về Thiên Chúa.,Trả về chủ của.,Chia cho người nghèo khó.,Trả về nơi sản xuất.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Nhóm nào chủ trương không có sự sống lại? (Mt 22,23)",Nhóm Xađốc.,Nhóm Kinh Sư,Nhóm Pharisieu,Nhóm Hê-rô-đê.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Nếu ai chết mà không có con, thì anh hay em của người ấy phải cưới lấy người vợ goá, để sinh con nối dòng cho anh hay em mình.” Ai đã nói câu này? (Mt 22,24)",Ông Môsê.,Ông Abraham,Vua Đa-vít,Ông Gioan Tẩy giả.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Thưa Thầy, trong sách Luật Môsê, điều răn nào là điều răn trọng nhất?” Ai đã hỏi Chúa Giêsu câu này? (Mt 22,36)",Một người thông luật.,Một vị Thượng tế.,Một ông trưởng Hội đường.,Một môn đệ của Chúa Giêsu.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ngươi phải yêu mến Đức Chúa, Thiên Chúa của ngươi, thế nào? (Mt 22,37)","Hết tâm hồn, hết trí khôn và hết những gì mình có.",Hết mọi ngày trong suốt đời ngươi.,"Hết lòng, hết linh hồn và hết trí khôn ngươi.",Yêu Chúa hơn yêu cha mẹ và bản thân mình.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Còn điều răn thứ hai, cũng giống điều răn ấy, là gì? (Mt 22,39)",Ngươi phải yêu người thân cận như chính mình.,Yêu người thân cận như chính anh chị em ruột mình.,Yêu người thân cận như yêu Chúa.,Chỉ yêu những người mình thích.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu đã hỏi ai : “Các ông nghĩ sao về Đấng Kitô? Người là con của ai?”? (Mt 22,41- 42)",Các môn đệ.,Ông Simon Phê-rô.,Những người Pharisêu.,Hỏi các Kinh sư.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu nói: Ai ngồi trên toà ông Môsê mà giảng dạy. Tất cả những gì họ nói, anh em hãy làm, hãy giữ, còn những việc họ làm, thì đừng có làm theo, vì họ nói mà không làm? (Mt 23,2-3)",Dân ngoại,Thủ lãnh Do-thái,Các vua chúa trần gian,Các kinh sư và các người Pharisêu.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Các kinh sư và các người Pharisêu giả hình, họ thường làn gì? (Mt 23,5-6)",Đeo những hộp kinh thật lớn.,Mang những tua áo thật dài.,Ưa ngồi cỗ nhất trong đám tiệc.,Chiếm hàng ghế đầu trong hội đường. e. Tấ cả đều đúng. f. Tất cả đều sai.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu nói: Trong anh em, người làm lớn hơn cả, phải làm gì? (Mt 23,11)",Người phục vụ anh em.,Người lãnh đạo anh em.,Người giảng dạy anh em.,Người đầy tớ anh em.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu: “Ai tôn mình lên, sẽ bị hạ xuống; còn ai hạ mình xuống, sẽ được ... ... ... .” (Mt 23,12)",Nâng lên,Ban thưởng,Tôn lên.,Thiên Chúa nâng lên.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
